trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
150,False,"{'a': 0.8, 'e': 0.006666666666666667}",30,22,18.81108765927693,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.8, 'e': 0.006622516556291391}",20,6,17.198267165451973,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.8, 'e': 0.006578947368421052}",25,11,15.135245340285495,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.8, 'e': 0.006535947712418301}",25,8,27.2024634178819,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.8, 'e': 0.006493506493506494}",25,7,36.631331393765464,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.8, 'e': 0.0064516129032258064}",20,13,13.508851166651397,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.8, 'e': 0.00641025641025641}",20,14,9.173609619985932,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.8, 'e': 0.006369426751592357}",25,13,19.31107793396321,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.8, 'e': 0.006329113924050633}",20,5,26.766954279263114,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.8, 'e': 0.006289308176100629}",20,12,12.443883516567592,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.8, 'e': 0.00625}",30,20,20.121392327095418,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.8, 'e': 0.006211180124223602}",20,6,23.413819028763967,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.8, 'e': 0.006172839506172839}",20,13,16.650209148563373,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.8, 'e': 0.006134969325153374}",25,17,14.748131768852943,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.8, 'e': 0.006097560975609756}",25,10,25.165909808628168,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.8, 'e': 0.006060606060606061}",25,11,24.06758424901492,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.8, 'e': 0.006024096385542169}",25,11,24.376225194249837,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.8, 'e': 0.005988023952095809}",20,12,12.049602288845863,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.8, 'e': 0.005952380952380952}",25,18,13.19664565048391,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.8, 'e': 0.005917159763313609}",20,12,16.747429474917883,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.8, 'e': 0.0058823529411764705}",20,0,31.030971925142076,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.8, 'e': 0.005847953216374269}",25,20,8.053184014394274,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.8, 'e': 0.005813953488372093}",20,6,26.200877338710725,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.8, 'e': 0.005780346820809248}",30,22,17.8426585730755,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.8, 'e': 0.005747126436781609}",25,3,34.021947608524826,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.8, 'e': 0.005714285714285714}",20,8,21.941919491496883,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.8, 'e': 0.005681818181818182}",20,9,19.21717676871829,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.8, 'e': 0.005649717514124294}",25,13,18.754388363099814,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.8, 'e': 0.0056179775280898875}",25,12,25.73040866495213,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.8, 'e': 0.00558659217877095}",20,13,11.940789792498377,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.8, 'e': 0.005555555555555556}",25,19,10.139173928099297,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.8, 'e': 0.0055248618784530384}",20,12,13.921655953684972,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.8, 'e': 0.005494505494505495}",20,12,14.84303791646079,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.8, 'e': 0.00546448087431694}",25,13,23.356688376141207,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.8, 'e': 0.005434782608695652}",25,13,24.60488261974016,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.8, 'e': 0.005405405405405406}",20,12,3.5052201530714533,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.8, 'e': 0.005376344086021506}",20,12,14.462023404233321,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.8, 'e': 0.0053475935828877}",20,13,11.791343888142755,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.8, 'e': 0.005319148936170213}",20,13,15.00056332655232,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.8, 'e': 0.005291005291005291}",20,11,18.307209076981746,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.8, 'e': 0.005263157894736842}",25,18,12.278478855841431,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.8, 'e': 0.005235602094240838}",20,6,21.412524138540977,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.8, 'e': 0.005208333333333333}",20,13,17.40962876340005,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.8, 'e': 0.0051813471502590676}",20,10,16.907890229225323,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.8, 'e': 0.005154639175257732}",20,11,19.004257127706076,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.8, 'e': 0.005128205128205128}",30,24,12.584410173999363,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.8, 'e': 0.00510204081632653}",25,15,20.238501051895714,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.8, 'e': 0.005076142131979695}",20,8,24.434915141187982,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.8, 'e': 0.005050505050505051}",25,17,14.286853354697021,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.8, 'e': 0.005025125628140704}",25,11,22.29327826691628,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.8, 'e': 0.005}",25,13,20.71656675404258,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.8, 'e': 0.004975124378109453}",20,8,23.01013270624126,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,11,14.03193130402376,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,10.360041813670946,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,11,21.124600118037797,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,16,5.340321019572532,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,10,36.66122312940336,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,14,22.407046971159318,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,12,15.732055376071848,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,15,19.05571304629088,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,16,9.249794675016993,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,22,16.281931065354538,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
